Fecha,coa2 tons per capita
1960,204.620372249175
1961,208.82281106822
1962,226.118079146287
1963,214.800370403034
1964,207.615777107589
1965,185.203957461646
1966,172.119951485749
1967,210.779071570063
1968,194.887490151749
1969,253.579113169635
1970,281.995733369453
1971,243.870306191117
1972,234.886547459893
1973,258.819846289195
1974,233.488930742797
1975,168.729033747136
1976,360.853233420262
1977,189.163403240235
1978,161.803637089663
1979,170.083261087029
1980,174.697500665602
1981,165.104908613601
1982,182.259075719293
1983,92.3809745824022
1984,228.355894710039
1985,266.475105512011
1986,2.86831939212055
1987,7.23519803341258
1988,10.0261792105306
1989,10.6347325992922
1990,7.84744726383369
1991,8.22808022035839
1992,7.89989008573313
1993,8.95204402515723
1994,8.60573663624511
1995,8.81095313978387
1996,8.72675480769231
1997,8.88309089419667
1998,9.24344328975561
1999,9.10518510196057
2000,26.1948752380219
2001,25.9340244138733
2002,25.6711617820448
2003,26.4204520857169
2004,26.5172934158421
2005,27.200707780588
2006,26.9477259654482
2007,27.8950228211258
2008,26.2295526746779
2009,25.9153220639692
2010,24.6705288731078
2011,24.5075162181761
2012,13.1577223088924
2013,8.35356100776471
2014,8.41006417792511
2015,8.61037367861148
2016,8.42691090090777
